"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 06 09:38:43 CET 2022","Tue Dec 06 09:38:44 CET 2022","632","","Open a page from the All Pages list","","","","Click on Git on the home page",""
"passed","Tue Dec 06 09:38:44 CET 2022","Tue Dec 06 09:38:45 CET 2022","636","","Open a page from the All Pages list","","","","Click on Java on the home page",""
"passed","Tue Dec 06 09:38:42 CET 2022","Tue Dec 06 09:38:43 CET 2022","608","","Open a page from the All Pages list","","","","Click on Django on the home page",""
"passed","Tue Dec 06 09:38:45 CET 2022","Tue Dec 06 09:38:46 CET 2022","576","","Open a page from the All Pages list","","","","Click on Python on the home page",""
"passed","Tue Dec 06 09:38:44 CET 2022","Tue Dec 06 09:38:44 CET 2022","585","","Open a page from the All Pages list","","","","Click on HTML on the home page",""
"passed","Tue Dec 06 09:39:43 CET 2022","Tue Dec 06 09:39:45 CET 2022","2763","","Create a document with an already existing title","","","","Tests the duplicate document error",""
"passed","Mon Dec 05 21:55:33 CET 2022","Mon Dec 05 21:55:35 CET 2022","2099","","Open a page from the All Pages list","","","","Click on a page on the home page",""
"passed","Tue Dec 06 09:39:24 CET 2022","Tue Dec 06 09:39:26 CET 2022","2626","","Creating a new page with content field empty","","","","Creating a new page with mandatory field content empty ",""
"passed","Tue Dec 06 09:40:21 CET 2022","Tue Dec 06 09:40:23 CET 2022","1961","","Search for a document","","","","Click on the search bar and search for a document",""
"failed","Tue Dec 06 09:38:53 CET 2022","Tue Dec 06 09:39:17 CET 2022","23879","","Creating a new page","","","","Creates a new page",""
"passed","Tue Dec 06 09:39:33 CET 2022","Tue Dec 06 09:39:35 CET 2022","2764","","Creating a new page with title field empty","","","","Creating a new page with mandatory field title empty",""
"passed","Mon Dec 05 21:57:34 CET 2022","Mon Dec 05 21:57:36 CET 2022","1988","","Creating a new page with title and content field empty","","","","Creating a new page with missing mandatory field",""
"passed","Tue Dec 06 09:38:41 CET 2022","Tue Dec 06 09:38:42 CET 2022","1327","","Open a page from the All Pages list","","","","Click on CSS on the home page",""
"failed","Tue Dec 06 09:39:51 CET 2022","Tue Dec 06 09:40:13 CET 2022","21562","","Open a random page","","","","Clicks on the Random Page button",""
